,0,1,2,3,4,5,6,7,8,9,10,11
0,2010Lexus GX 4604(1Review),2010Lexus GX 460,Ibadan,Automatic,Other,Foreign Used,2010,Petrol,"₦725,183 / mo ","₦12,500,000","₦6,250,000","₦725,183"
1,2017Toyota 4-Runner5(7Reviews),2017Toyota 4-Runner,Ibadan,Automatic,Black,Locally Used,2017,Petrol,"₦986,248 / mo ","₦17,000,000","₦8,500,000","₦986,248"
2,2016Lexus RX 3505(1Review),2016Lexus RX 350,Lagos,Automatic,White,Foreign Used,2016,Petrol,"₦1,015,256 / mo ","₦17,500,000","₦8,750,000","₦1,015,256"
3,2010Lexus IS 250 4WD5(1Review),2010Lexus IS 250 4WD,Lagos,Automatic,Black,Foreign Used,2010,Petrol,"₦197,250 / mo ","₦3,400,000","₦1,700,000","₦197,250"
4,2011Lexus ES 3505(6Reviews),2011Lexus ES 350,Lagos,Automatic,Silver,Foreign Used,2011,Petrol,"₦243,661 / mo ","₦4,200,000","₦2,100,000","₦243,661"
5,2011Lexus GX 4604(1Review),2011Lexus GX 460,Lagos,Automatic,Black,Foreign Used,2011,Petrol,"₦696,175 / mo ","₦12,000,000","₦6,000,000","₦696,175"
6,2010Toyota RAV4 1.85(7Reviews),2010Toyota RAV4 1.8,Lagos,Automatic,Grey,Foreign Used,2010,Petrol,"₦272,669 / mo ","₦4,700,000","₦2,350,000","₦272,669"
7,2018Toyota Highlander5(8Reviews),2018Toyota Highlander,Lagos,Automatic,Blue,Foreign Used,2018,Petrol,"₦1,160,292 / mo ","₦20,000,000","₦10,000,000","₦1,160,292"
8,2014Mercedes-Benz GLK5(3Reviews),2014Mercedes-Benz GLK,Lagos,Automatic,Silver,Foreign Used,2014,Petrol,"₦696,175 / mo ","₦12,000,000","₦6,000,000","₦696,175"
9,2011Lexus GX4(1Review),2011Lexus GX,Lagos,Automatic,Grey,Foreign Used,2011,Petrol,"₦696,175 / mo ","₦12,000,000","₦6,000,000","₦696,175"
10,2012Lexus GX4(1Review),2012Lexus GX,Lagos,Automatic,Silver,Foreign Used,2012,Petrol,"₦725,183 / mo ","₦12,500,000","₦6,250,000","₦725,183"
11,2014Porsche Panamera 3.0 D,2014Porsche Panamera 3.0 D,Lagos,Automatic,Silver,Foreign Used,2014,Petrol,"₦1,450,365 / mo ","₦25,000,000","₦12,500,000","₦1,450,365"
12,2010Toyota Highlander5(8Reviews),2010Toyota Highlander,Lagos,Automatic,Red,Foreign Used,2010,Petrol,"₦377,095 / mo ","₦6,500,000","₦3,250,000","₦377,095"
13,2015Lexus GX4(1Review),2015Lexus GX,Lagos,Automatic,Black,Foreign Used,2015,Petrol,"₦1,131,285 / mo ","₦19,500,000","₦9,750,000","₦1,131,285"
14,2012Toyota 4-Runner5(7Reviews),2012Toyota 4-Runner,Lagos,Automatic,Silver,Foreign Used,2012,Petrol,"₦667,168 / mo ",,,
15,2007Toyota RAV45(7Reviews),2007Toyota RAV4,Ibadan,Automatic,Other,Foreign Used,2007,Other,,,,
